---,PhysicalDefense,MagicalDefense,Strength,Intelligence,Luck,Speed,Tolerances,SpecialEffect,EffectValue
BerserkerMail,0,0,25,25,0,0,(),None,0
AncientArmor,0,0,0,0,0,0,(),rNoDamageSmth,0
OrloxSuit,38,2,4,2,0,0,(),None,0
DeathRobe,42,4,10,13,4,0,(),None,0
DraculaTunic,44,6,13,6,6,0,(),None,0
Eversing,46,0,0,0,0,0,(),None,0
DemonMail,56,0,0,0,0,0,"((Dark, VeryStrong))",None,0
CasualWear,1,0,0,0,0,0,(),None,0
MilitaryWear,5,0,0,0,0,0,"((Slash, VeryStrong))",None,0
RubberSuit,5,0,0,0,0,0,"((Strike, Strong))",None,0
ReinforcedSuit,8,2,2,0,0,0,(),None,0
BodySuit,12,1,0,1,0,0,(),None,0
LeatherCorset,3,0,0,0,0,0,(),None,0
JadeCorset,6,0,0,0,0,0,(),None,0
AmethystCorset,11,0,0,0,0,0,(),None,0
EmeraldCorset,16,0,0,3,0,0,(),None,0
RubyCorset,16,0,3,0,0,0,(),None,0
SapphireCorset,16,3,0,0,0,0,(),None,0
LilithCorset,17,0,0,0,0,0,(),None,0
PlatinumCorset,25,0,0,0,0,0,(),None,0
DiamondCorset,32,0,0,0,0,0,(),None,0
LeatherCuirass,5,0,0,0,0,0,(),None,0
CopperPlateF,8,0,0,0,0,0,(),None,0
IronPlateF,18,0,0,0,0,0,(),None,0
SilverPlateF,28,0,0,0,0,0,(),None,0
GoldPlateF,40,0,0,0,0,0,(),None,0
PlatinumPlateF,55,0,0,0,0,0,(),None,0
MirrorCuirassF,40,7,8,0,0,0,(),bResistStatus,4
HeartCuirass,25,0,0,0,0,0,(),rHealthForMagic,1
BarbarianBelt,0,0,10,0,0,0,(),None,0
KnightCuirass,28,23,0,0,0,0,(),None,0
CrimsonMail,15,3,2,0,0,0,(),None,0
ValkyrieMail,25,5,4,0,0,0,(),bResistStatus,1
MinervaMail,40,7,8,0,0,0,(),bResistStatus,2
Kirtle,2,0,0,1,0,0,(),None,0
MikoDress,5,15,0,0,0,0,(),None,0
CottonApron,7,3,0,1,0,0,(),None,0
SilkNegligee,10,5,0,2,0,0,(),None,0
Bathrobe,6,0,0,0,5,0,(),None,0
FrillyCamisole,9,5,0,0,0,0,(),None,0
SequinedDress,11,7,3,3,2,0,(),None,0
ClownShirt,12,0,0,0,3,0,(),None,0
NunRobes,9,3,0,0,0,0,(),None,0
CocktailDress,14,0,0,5,0,0,(),None,0
DancerBlouse,16,0,0,0,1,0,(),None,0
Cotehardie,18,0,5,0,0,0,(),None,0
EmpireDress,20,7,0,5,0,0,(),None,0
CorsetDress,20,12,0,6,0,0,(),None,0
WeddingDress,23,20,3,2,0,0,(),None,0
EuropaDress,23,6,3,3,3,0,(),None,0
PartyDress,24,9,0,3,0,0,(),None,0
Dalmatica,25,0,0,10,0,0,(),None,0
PrincessCoat,28,0,0,0,10,0,(),None,0
RobeDecollete,30,5,0,5,5,0,(),None,0
FancyDecollete,32,30,0,6,5,0,(),None,0
